Person ID,Gender,Current Grade,City,Roles
262489,Male,None,,"DECEASED, Alum '38"
262490,Male,None,Wilmington,Alum '96
262491,Male,None,,"DECEASED, Alum '33"
262492,Male,None,,"DECEASED, Alum '54"
262493,Male,None,,"DECEASED, Alum '32"
262494,Male,None,,"DECEASED, Alum '54"
262495,Male,None,,"DECEASED, Alum '54"
262496,Male,None,Wellesley,Alum '95
262497,Male,None,New York,Alum '95
262498,Female,None,Wellesley,Alum '95
262499,Male,None,Lakeville,Alum '54
262500,Female,None,West Roxbury,Alum '93
262501,Male,None,,Alum '54
262502,Male,None,,"DECEASED, Alum 1925"
262503,Male,None,,"DECEASED, Alum 1925"
262504,Male,None,,"DECEASED, Alum 1926"
262505,Male,None,,"DECEASED, Alum 1927"
262506,Male,None,,"DECEASED, Alum 1928"
262507,Male,None,,"DECEASED, Alum 1928"
262508,Male,None,,"DECEASED, Alum 1928"
262509,Male,None,Sellersville,Alum '54
262510,Male,None,,"DECEASED, Alum '66"
262511,Male,None,,"DECEASED, Alum '49"
262512,Male,None,,"DECEASED, Alum '42"
262513,Male,None,Corona,Alum '54
262514,Male,None,,"DECEASED, Alum '42"
262515,Male,None,,"DECEASED, Alum '41"
262516,Male,None,,"DECEASED, Alum '39"
262517,Male,None,,"DECEASED, Alum '36"
262518,Male,None,Westwood,Alum '55
